"","Customer_ID","Recency","Frequency","Count_of_transactions","Total_Amount","DPR","Age","Avg_Amount","CSI","months_inactive","CLV"
"1","12346",196,6,7,372.86,26,725,53.2657142857143,"1",0.204123263888889,14.079332272098
"2","12347",402,7,8,4921.53,126,404,615.19125,"6",0.060639768728004,287.393855617278
"3","12348",363,4,5,1658.4,24,438,331.68,"5",0.268888888888889,140.406567743719
"4","12349",571,2,3,3678.69,137,589,1226.23,"5",0.111314165042235,65.6069695440706
"5","12350",0,0,1,294.4,16,310,294.4,"2",0,17.4267206456687
"6","12351",0,0,1,300.93,21,375,300.93,"3",0,21.4609226454603
"7","12352",356,8,9,2569.84,69,392,285.537777777778,"3",0.12233676975945,221.05018429732
"8","12353",204,1,2,406.76,23,408,203.38,"4",0.295652173913043,18.453777611973
"9","12354",0,0,1,1079.4,58,232,1079.4,"5",0,18.3279339772325
"10","12355",353,1,2,947.61,35,567,473.805,"4",0.346078431372549,60.1845594357946
"11","12356",402,5,6,5611.73,103,424,935.288333333333,"5",0.0971115136876006,173.382803793776
"12","12357",355,1,2,17437.66,260,388,8718.83,"5",0.040249433106576,991.958880839573
"13","12358",730,4,5,3447.07,55,731,689.414000000001,"5",0.333333333333333,173.84319211539
"14","12359",677,9,10,8873.38999999999,305,734,887.338999999999,"5",0.0625076946752847,318.023208672346
"15","12360",603,5,6,3612.89,159,655,602.148333333333,"6",0.095707671957672,150.911005059831
"16","12361",395,3,4,451.25,17,682,112.8125,"3",0.548611111111111,15.1358981741573
"17","12362",292,9,10,4737.23,200,295,473.723,"3",0.0381699346405229,100.46185439454
"18","12363",133,1,2,552,23,242,276,"3",0.201515151515152,18.1384532072781
"19","12364",105,3,4,1208.1,69,112,302.025,"3",0.0437673611111111,90.1730369673636
"20","12365",0,0,1,641.38,22,291,641.38,"5",0,45.4891695189425
"21","12366",0,0,1,500.24,3,633,500.24,"4",0,34.3868488563006
"22","12367",0,0,1,150.9,10,4,150.9,"2",0,10.6833060957784
"23","12368",0,0,1,917.7,18,628,917.7,"6",0,41.5093229546173
"24","12369",228,2,3,1511.15,89,641,503.716666666667,"5",0.0853776529338327,77.0257382576011
"25","12370",617,5,6,3956.56,167,668,659.426666666666,"5",0.104924886621315,84.8462076733289
"26","12371",586,2,3,3347.38,133,645,1115.79333333333,"4",0.12056755829904,134.96231187735
"27","12372",225,2,3,1196.04,33,296,398.68,"4",0.156221064814815,64.7693065060489
"28","12373",362,2,3,927.65,35,673,309.216666666667,"5",0.256737588652482,43.640141037973
"29","12374",563,2,3,2669.22,78,588,889.74,"4",0.234600694444444,14.9927353190567
"30","12375",88,1,2,377.5,13,98,188.75,"3",0.209623015873016,25.7028403797968
"31","12376",28,1,2,383.15,10,417,191.575,"2",0.0934722222222222,11.7767580265447
"32","12377",274,3,4,3266.32,128,589,816.58,"5",0.061306860551827,208.686793421552
"33","12378",433,1,2,5416.32,281,562,2708.16,"5",0.0481111111111111,187.419085203972
"34","12379",453,3,4,1470.22,57,534,367.555,"5",0.198684210526316,83.7846471853075
"35","12380",641,6,7,7210.65000000001,154,662,1030.09285714286,"5",0.0803258145363408,251.316738171813
"36","12381",115,2,3,1474.81,69,119,491.603333333334,"4",0.0473422496570645,95.8865482141272
"37","12383",168,4,5,1628.56,83,352,325.712,"3",0.060200119474313,48.1145853768438
"38","12384",93,1,2,425.27,25,121,212.635,"3",0.129224537037037,17.4352493857856
"39","12385",0,0,1,1668.4,64,379,1668.4,"6",0,123.675390413193
"40","12386",29,1,2,401.9,10,366,200.95,"2",0.107407407407407,20.6701599609726
"41","12387",0,0,1,143.94,9,415,143.94,"2",0,8.9725229195207
"42","12388",567,7,8,3901.11,83,582,487.63875,"6",0.130354406130268,163.491578324269
"43","12389",253,2,3,1433.33,41,655,477.776666666667,"6",0.175694444444444,94.7160520125155
"44","12390",0,0,1,504.84,31,79,504.84,"4",0,38.5211545241959
"45","12391",641,4,5,2724.83999999999,241,662,544.967999999999,"5",0.0803258145363408,135.707202470177
"46","12392",0,0,1,234.75,7,591,234.75,"2",0,10.835418272392
"47","12393",356,5,6,2399.45,63,428,399.908333333333,"4",0.111949685534591,102.563674365423
"48","12394",154,1,2,1080.48,25,217,540.24,"5",0.213888888888889,24.2894580475756
"49","12395",583,13,14,4241.17,144,602,302.940714285714,"3",0.0859943461160275,184.70108820223
"50","12396",0,0,1,931.430000000001,65,674,931.430000000001,"5",0,49.1865173187635
"51","12397",100,1,2,2214.9,109,135,1107.45,"5",0.0271115627822945,99.6258281204364
"52","12398",0,0,1,1435.66,84,45,1435.66,"5",0,99.2040973221919
"53","12399",525,6,7,1842.3,66,644,263.185714285714,"4",0.171555010893246,66.4797764722657
"54","12400",0,0,1,205.25,11,414,205.25,"2",0,9.49283283242704
"55","12401",0,0,1,69.3,4,303,69.3,"1",0,1.94339324373806
"56","12402",347,5,6,1136.9,42,670,189.483333333333,"4",0.183597883597884,45.2797963175564
"57","12403",472,1,2,947.36,4,521,473.68,"4",2.62222222222222,1.80115414251367
"58","12404",0,0,1,63.24,1,682,63.24,"2",NA,NA
"59","12405",0,0,1,1390.39,53,148,1390.39,"6",0,44.0365639726986
"60","12406",675,4,5,6390.36,114,697,1278.072,"5",0.136363636363636,266.038653879907
"61","12407",215,4,5,1507.12,56,264,301.424,"4",0.100919405320814,62.2024514591602
"62","12408",466,6,7,3905.77,103,498,557.967142857143,"5",0.102878955114054,328.290040875017
"63","12409",487,6,7,23419.29,177,565,3345.61285714286,"5",0.061723700887199,1687.93720121065
"64","12410",194,1,2,773.71,35,502,386.855,"5",0.174812312312312,51.273010620721
"65","12411",0,0,1,346.9,22,409,346.9,"3",0,24.280731708855
"66","12412",465,5,6,2404.93,81,539,400.821666666667,"5",0.129166666666667,103.796721876242
"67","12413",336,3,4,871.45,40,402,217.8625,"3",0.238268321513002,48.0323295642585
"68","12414",246,3,4,792.41,20,463,198.1025,"4",0.356521739130435,30.8868887379687
"69","12415",503,21,22,144108.37,497,527,6550.38045454544,"5",0.0181080513558915,8629.0153989762
